conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,brand,kategori,clean_text,tokens,Sentiment_Score,Sentiment,clean_kmeans,Cluster,dominant_topic,topic_prob,topic_label
2066425631777357962,2026-06-15T07:40:37.000Z,1679,"guys ini menarik banget, gue pernah mikir gini juga ""gara-gara dating apps ada yang rusak dalam memandang orang di sekitar"" 

kalian ngerasa gini juga ga? https://t.co/IsxExf6l14",2066425631777357962,https://pbs.twimg.com/media/HK1rJ7IbsAAAbS1.jpg,,in,,46,250,184,https://x.com/anggarasamvdr/status/2066425631777357962,1500066392145801218,anggarasamvdr,Lazada,E-Commerce,guys ini menarik banget gue pernah mikir gini juga gara gara dating apps ada yang rusak dalam memandang orang di sekitar kalian ngerasa gini juga tidak,"['guys', 'ini', 'menarik', 'banget', 'gue', 'pernah', 'mikir', 'gini', 'juga', 'gara', 'gara', 'dating', 'apps', 'ada', 'yang', 'rusak', 'dalam', 'memandang', 'orang', 'di', 'sekitar', 'kalian', 'ngerasa', 'gini', 'juga', 'tidak']",-29,Negatif,guys  menarik   pernah mikir   gara gara dating apps   rusak  memandang   sekitar  ngerasa   tidak,0,,,
2066119492321915379,2026-06-14T11:24:08.000Z,369,"ᅠ
woman to woman,

stop kasih akses ke orang yang bikin kamu ragu sama diri sendiri. kamu terlalu cantik pas lagi damai, jangan rusak itu demi yang gak ngerti nilai kamu.
ᅠ",2066119492321915379,,,in,,1,92,87,https://x.com/awrimaa/status/2066119492321915379,718154719,awrimaa,Lazada,E-Commerce,ᅠ woman to woman stop kasih akses ke orang yang bikin kamu ragu sama diri sendiri kamu terlalu cantik pas lagi damai jangan rusak itu demi yang tidak_ngerti nilai kamu ᅠ,"['woman', 'to', 'woman', 'stop', 'kasih', 'akses', 'ke', 'orang', 'yang', 'bikin', 'kamu', 'ragu', 'sama', 'diri', 'sendiri', 'kamu', 'terlalu', 'cantik', 'pas', 'lagi', 'damai', 'jangan', 'rusak', 'itu', 'demi', 'yang', 'tidak_ngerti', 'nilai', 'kamu']",-27,Negatif,ᅠ woman to woman stop kasih akses      ragu  diri sendiri  terlalu cantik   damai  rusak  demi  tidak_ngerti nilai  ᅠ,0,,,
2066963372357370111,2026-06-16T19:17:24.000Z,438,"Mata lo tiba-tiba kabur, berbayang, atau ada bintik hitam melayang? Jangan buru-buru salahkan minus atau capek doang.

Diabetes itu sering muncul di organ yang udah mulai rusak duluan, bukan di darah. Gini cara baca sinyal aslinya:

1. Mata biasanya yang pertama kena.",2066963372357370111,,,in,,2,19,53,https://x.com/ElysiaXBT/status/2066963372357370111,1303292874,ElysiaXBT,Lazada,E-Commerce,mata lo tiba tiba kabur berbayang atau ada bintik hitam melayang jangan buru buru salahkan minus atau capek doang diabetes itu sering muncul di organ yang udah mulai rusak duluan bukan_di darah gini cara baca sinyal aslinya 1 mata biasanya yang pertama kena,"['mata', 'lo', 'tiba', 'tiba', 'kabur', 'berbayang', 'atau', 'ada', 'bintik', 'hitam', 'melayang', 'jangan', 'buru', 'buru', 'salahkan', 'minus', 'atau', 'capek', 'doang', 'diabetes', 'itu', 'sering', 'muncul', 'di', 'organ', 'yang', 'udah', 'mulai', 'rusak', 'duluan', 'bukan_di', 'darah', 'gini', 'cara', 'baca', 'sinyal', 'aslinya', 'mata', 'biasanya', 'yang', 'pertama', 'kena']",-55,Negatif,mata lo tiba tiba kabur berbayang   bintik hitam melayang  buru buru salahkan minus  capek doang diabetes  sering muncul  organ    rusak duluan bukan_di darah  cara  sinyal aslinya  mata biasanya  pertama kena,0,,,
1996750958081331550,2025-12-05T01:18:20.000Z,134,"""Situasi ekonomi keluarga yang hancur pasca-banjir berpotensi besar memaksa anak-anak putus sekolah karena masalah biaya. Di samping itu, alasan putus sekolah juga karena membangun sekolah rusak berat butuh waktu yang panjang,"" kata Ubaid, selaku Koordinator Nasional Jaringan https://t.co/bb0Ji28PR6",1996750958081331550,https://pbs.twimg.com/media/G7XiZmHb0AEZA_O.jpg,,in,,2,4,79,https://x.com/kompascom/status/1996750958081331550,23343960,kompascom,Lazada,E-Commerce,situasi ekonomi keluarga yang hancur pasca banjir berpotensi besar memaksa anak anak putus sekolah karena masalah biaya di samping itu alasan putus sekolah juga karena membangun sekolah rusak berat butuh waktu yang panjang kata ubaid selaku koordinator nasional jaringan,"['situasi', 'ekonomi', 'keluarga', 'yang', 'hancur', 'pasca', 'banjir', 'berpotensi', 'besar', 'memaksa', 'anak', 'anak', 'putus', 'sekolah', 'karena', 'masalah', 'biaya', 'di', 'samping', 'itu', 'alasan', 'putus', 'sekolah', 'juga', 'karena', 'membangun', 'sekolah', 'rusak', 'berat', 'butuh', 'waktu', 'yang', 'panjang', 'kata', 'ubaid', 'selaku', 'koordinator', 'nasional', 'jaringan']",-52,Negatif,situasi ekonomi keluarga  hancur pasca banjir berpotensi besar memaksa   putus sekolah  masalah biaya  samping  alasan putus sekolah   membangun sekolah rusak  butuh   panjang kata ubaid selaku koordinator nasional jaringan,0,,,
2067530703583998076,2026-06-18T08:51:48.000Z,0,"Jangan lupa lihat suppliernya.

kalau suppliernya:
❌ sering kosong
❌ lama kirim
❌ respon lambat

yang dimarahin pembeli tetap kamu.",2067530709615382945,,jakmall,in,,0,1,0,https://x.com/jakmall/status/2067530709615382945,3478793592,jakmall,Lazada,E-Commerce,jangan lupa lihat suppliernya kalau suppliernya cross_mark sering kosong cross_mark lama kirim cross_mark respon lambat yang dimarahin pembeli tetap kamu,"['jangan', 'lupa', 'lihat', 'suppliernya', 'kalau', 'suppliernya', 'cross_mark', 'sering', 'kosong', 'cross_mark', 'lama', 'kirim', 'cross_mark', 'respon', 'lambat', 'yang', 'dimarahin', 'pembeli', 'tetap', 'kamu']",-9,Negatif, lupa lihat suppliernya  suppliernya cross_mark sering kosong cross_mark lama kirim cross_mark respon lambat  dimarahin pembeli  ,0,,,
1996017651420913856,2025-12-03T00:44:26.000Z,2331,"Paket Dipasangi Parasut, TNI AU Airdrop Bantuan ke Aceh Tamiang

Baca di: https://t.co/23OCE5bAcj https://t.co/jf72wRtK8i",1996017651420913856,https://pbs.twimg.com/amplify_video_thumb/1996017387188150272/img/TfIT5zq-F46rmaq9.jpg,,in,,436,297,497,https://x.com/kompascom/status/1996017651420913856,23343960,kompascom,Lazada,E-Commerce,paket dipasangi parasut tni au airdrop bantuan ke aceh tamiang baca di,"['paket', 'dipasangi', 'parasut', 'tni', 'au', 'airdrop', 'bantuan', 'ke', 'aceh', 'tamiang', 'baca', 'di']",3,Positif,paket dipasangi parasut tni au airdrop bantuan  aceh tamiang  ,2,,,
2066086573033341262,2026-06-14T09:13:19.000Z,5538,""" kenapasih beli hp sampe 30jtan?""

biar gak rusak di masukin ke bak mandi sama anak 😭 https://t.co/IrZxnE4ojj",2066086573033341262,https://pbs.twimg.com/media/HKw2yVsbkAAQv2J.jpg,,in,,29,350,111,https://x.com/americhanoo_/status/2066086573033341262,1941709283063889922,americhanoo_,Lazada,E-Commerce,kenapasih beli hp sampai 30jtan biar tidak_rusak di masukin ke bak mandi sama anak loudly_crying_face,"['kenapasih', 'beli', 'hp', 'sampai', '30jtan', 'biar', 'tidak_rusak', 'di', 'masukin', 'ke', 'bak', 'mandi', 'sama', 'anak', 'loudly_crying_face']",-13,Negatif,kenapasih beli hp  30jtan  tidak_rusak  masukin  bak mandi   loudly_crying_face,0,,,
2067204200845779267,2026-06-17T11:14:22.000Z,846,"Bismillahirrahmanirrahim, beraniinn diri buat jujur ke suami, takut bgt pasrah juga kalo mau ditinggalin, yaallah Alhamdulillah suamiku tetep sama aku, bayar cicil2 yg udah terlanjur telat sehari gabisa bayar karna kegedean nominalnya, bayar yg kecil2 gapapa kan🥺 https://t.co/5nWCLqgft4",2067204200845779267,https://pbs.twimg.com/media/HLAvOzCbQAAESjc.jpg,,in,,8,135,30,https://x.com/KapudS640/status/2067204200845779267,2045731527086989312,KapudS640,Lazada,E-Commerce,bismillahirrahmanirrahim beraniinn diri buat jujur ke suami takut banget pasrah juga kalo mau ditinggalin yaallah alhamdulillah suamiku tetep sama aku bayar cicil2 yang udah terlanjur telat sehari gabisa bayar karna kegedean nominalnya bayar yang kecil2 gapapa kanpleading_face,"['bismillahirrahmanirrahim', 'beraniinn', 'diri', 'buat', 'jujur', 'ke', 'suami', 'takut', 'banget', 'pasrah', 'juga', 'kalo', 'mau', 'ditinggalin', 'yaallah', 'alhamdulillah', 'suamiku', 'tetep', 'sama', 'aku', 'bayar', 'cicil2', 'yang', 'udah', 'terlanjur', 'telat', 'sehari', 'gabisa', 'bayar', 'karna', 'kegedean', 'nominalnya', 'bayar', 'yang', 'kecil2', 'gapapa', 'kanpleading_face']",-30,Negatif,bismillahirrahmanirrahim beraniinn diri  jujur  suami takut  pasrah    ditinggalin yaallah alhamdulillah suamiku tetep   bayar cicil2   terlanjur telat sehari gabisa bayar karna kegedean nominalnya bayar  kecil2 gapapa kanpleading_face,0,,,
2054565129828917291,2026-05-13T14:11:13.000Z,100,"Nadiem Kecewa Dituntut 18 Tahun: Kenapa Lebih Besar dari Pembunuh-Teroris?

Baca di https://t.co/SYMilXC4E3 https://t.co/HHAhxa0jkq",2054565129828917291,https://pbs.twimg.com/amplify_video_thumb/2054556284251521024/img/V9L68ZsiJfGOAtPK.jpg,,in,,9,20,40,https://x.com/kompascom/status/2054565129828917291,23343960,kompascom,Lazada,E-Commerce,nadiem kecewa dituntut 18 tahun kenapa lebih besar dari pembunuh teroris baca di,"['nadiem', 'kecewa', 'dituntut', '18', 'tahun', 'kenapa', 'lebih', 'besar', 'dari', 'pembunuh', 'teroris', 'baca', 'di']",-5,Negatif,nadiem kecewa dituntut 18    besar  pembunuh teroris  ,0,,,
2065647429756882978,2026-06-13T07:12:56.000Z,0,@rumahsenja_ Dari 2025 pas diskon 50% isi sejuta lebih sampe sekarang belum habis,2065693887742857351,,rumahsenja_,in,,0,1,0,https://x.com/bontengatah/status/2065693887742857351,319419384,bontengatah,Lazada,E-Commerce,dari 2025 pas diskon 50 isi sejuta lebih sampai sekarang belum_habis,"['dari', '2025', 'pas', 'diskon', '50', 'isi', 'sejuta', 'lebih', 'sampai', 'sekarang', 'belum_habis']",-6,Negatif,   diskon 50 isi sejuta   sekarang belum_habis,2,,,
