Source,Target,Brand,Kategori
bontengatah,rumahsenja_,Lazada,E-Commerce
ShopeeID,ziwonist_,Lazada,E-Commerce
ShopeeID,ShopeeCare,Lazada,E-Commerce
ShopeeID,ShopeeCare,Lazada,E-Commerce
ShopeeID,ryuticc,Lazada,E-Commerce
ShopeeID,Shopeecare,Lazada,E-Commerce
ShopeeID,shopeeID,Lazada,E-Commerce
PosIndonesia,_alyrae,Lazada,E-Commerce
mungilinium,bierusky,Lazada,E-Commerce
Ichafaaizah,kurcanci,Lazada,E-Commerce
PosIndonesia,elsusanto,Lazada,E-Commerce
ade__rz,NayDonuts,Lazada,E-Commerce
dannycawan,ShopeeCare,Lazada,E-Commerce
dannycawan,ShopeeID,Lazada,E-Commerce
dannycawan,aquaelektronik,Lazada,E-Commerce
bellizngham,thejurgenholic,Lazada,E-Commerce
dukeofsemarang,SeaBankID,Lazada,E-Commerce
icedchocomilk,LazadaID,Lazada,E-Commerce
mambarraa,monggomonggo22,Lazada,E-Commerce
ekologic4,LambeSahamjja,Lazada,E-Commerce
icedchocomilk,bierusky,Lazada,E-Commerce
myskill_id,tanyarlfes,Lazada,E-Commerce
Telkomsel,LLL2813,Lazada,E-Commerce
Telkomsel,LLL2813,Lazada,E-Commerce
agoda,nayapypup,Lazada,E-Commerce
xanaxx2mg,zarcastelo,Lazada,E-Commerce
detikcom,detikkalimantan,Lazada,E-Commerce
Telkomsel,ziera00000,Lazada,E-Commerce
Telkomsel,ziera00000,Lazada,E-Commerce
ShopeeID,2026masihwaras,Lazada,E-Commerce
ShopeeID,Shopeeid,Lazada,E-Commerce
ShopeeID,Shopeecareid,Lazada,E-Commerce
562ryul,jaeeayam,Lazada,E-Commerce
agung_e_f,rizkidwika,Lazada,E-Commerce
lionparcel_,grok,Lazada,E-Commerce
lionparcel_,MediaKonsumenID,Lazada,E-Commerce
detikcom,detikjatim_,Lazada,E-Commerce
detikcom,detikjatengcom,Lazada,E-Commerce
detikcom,detiksumut_,Lazada,E-Commerce
detikcom,detikjabar_,Lazada,E-Commerce
Telkomsel,lytaejeon,Lazada,E-Commerce
Telkomsel,lytaejeon,Lazada,E-Commerce
midnightlovz,LapakRMB,Lazada,E-Commerce
itslyanda,idextratime,Lazada,E-Commerce
ymksupremacy,matchacaw_,Lazada,E-Commerce
LazadaID,LazadaID,Lazada,E-Commerce
zkimjamal,convomf,Lazada,E-Commerce
LazadaID,LazadaID,Lazada,E-Commerce
